a11y-profile-manager-indicator	0.1.11-0ubuntu4
iproute2	5.5.0-1ubuntu1
iptables	1.8.4-3ubuntu2.1
iputils-arping	3:20190709-3ubuntu1
iputils-ping	3:20190709-3ubuntu1
iputils-tracepath	3:20190709-3ubuntu1
ipxe-qemu	1.0.0+git-20190109.133f4c4-0ubuntu3.2
ipxe-qemu-256k-compat-efi-roms	1.0.0+git-20150424.a25a16d-0ubuntu4
irqbalance	1.6.0-3ubuntu1
isc-dhcp-client	4.4.1-2.1ubuntu5.20.04.5
isc-dhcp-common	4.4.1-2.1ubuntu5.20.04.5
iso-codes	4.4-1
iucode-tool	2.3.1-1
iw	5.4-1
javascript-common	11
jayatana	2.7-0ubuntu5
kbd	2.0.4-4ubuntu2
kerneloops	0.12+git20140509-6ubuntu2
kerneloops-daemon	0.12+git20140509-2ubuntu1
keyboard-configuration	1.194ubuntu3
keyutils	1.6-6ubuntu1.1
klibc-utils	2.0.7-1ubuntu5.2
kmod	27-1ubuntu2.1
kpartx	0.8.3-1ubuntu2.4
krb5-locales	1.17-6ubuntu4.11
kubeadm	1.23.5-00
kubectl	1.24.1-00
kubelet	1.23.5-00
kubernetes-cni	0.8.7-00
language-pack-en	1:20.04+20220818
language-pack-en-base	1:20.04+20220818
language-pack-gnome-en	1:20.04+20220818
language-pack-gnome-en-base	1:20.04+20220818
language-selector-common	0.204.2
language-selector-gnome	0.204.2
laptop-detect	0.16
ldmtool	0.2.4-3
less	551-1ubuntu0.3
liba11y-profile-manager-0.1-0:amd64	0.1.11-0ubuntu4
liba11y-profile-manager-data	0.1.11-0ubuntu4
libaa1:amd64	1.4p5-46
libabw-0.1-1:amd64	0.1.3-1build1
libaccounts-glib0:amd64	1.23+17.04.20161104-0ubuntu3
libaccountsservice0:amd64	0.6.55-0ubuntu12~20.04.7
libacl1:amd64	2.2.53-6
libafflib0v5	3.7.18-3
libaio1:amd64	0.3.112-5
libalgorithm-diff-perl	1.19.03-2
libalgorithm-diff-xs-perl	0.04-6
libalgorithm-merge-perl	0.08-3
libamtk-5-0:amd64	5.0.2-1build1
libamtk-5-common	5.0.2-1build1
libao4:amd64	1.2.2+20180113-1ubuntu1
libao-common	1.2.2+20180113-1ubuntu1
libapache2-mod-dnssd	0.6-3.2
libapparmor1:amd64	2.13.3-7ubuntu5.4
libappindicator3-1	12.10.1+20.04.20200408.1-0ubuntu1
libappstream4:amd64	0.12.10-2
libappstream-glib8:amd64	0.7.16-1ubuntu1
libapt-pkg6.0:amd64	2.0.10
libarchive13:amd64	3.4.0-2ubuntu1.5
libargon2-0	0~20171227-0.2
libargon2-1:amd64	0~20171227-0.2
libasan4:amd64	7.5.0-6ubuntu2
libasan5:amd64	9.4.0-1ubuntu1~20.04.2
libasn1-8-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libasound2:amd64	1.2.2-2.1ubuntu2.5
libasound2-data	1.2.2-2.1ubuntu2.5
libasound2-plugins:amd64	1.2.2-1ubuntu1
libaspell15:amd64	0.60.8-1ubuntu0.1
libassuan0:amd64	2.5.3-7ubuntu2
libasyncns0:amd64	0.8-6
libatasmart4:amd64	0.19-5
libatk1.0-0:amd64	2.35.1-1ubuntu2
